col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-0.50855,-0.310427,0.00948047,0.534657,0.0732652,-0.224428,0.127333,-0.407997,0.939285,-0.859109,0.369811,0.0251838,-0.155528,0.737492
-0.667766,-0.429837,0.236729,-0.88698,-0.950191,0.397646,-1.55788,2.49399,-0.660831,-0.432329,-0.97901,0.303313,0.901609,-2.18332
-0.419614,-0.263196,-0.0931278,0.684731,-0.242245,0.108936,0.103613,-0.434324,0.826941,-0.715317,0.371753,0.0506799,-0.30819,0.591233
-0.317885,-0.287067,-0.0799821,0.68982,-0.250918,0.129218,0.0996555,-0.429384,0.468901,-0.23682,0.380976,0.0440005,-0.10427,0.887038
1.04705,0.412356,0.0801833,-1.70585,0.110932,0.28799,0.668304,0.0933675,-0.0359595,0.669697,-0.858053,0.0090112,0.408258,-0.367636
-0.299935,-0.224481,-0.0271894,0.537968,-0.0330241,0.0145842,0.120412,-0.410043,-0.304708,0.568159,0.36512,0.0632324,-0.312717,0.545477
-0.192704,-0.146637,-0.0652053,0.702443,-0.269948,0.153964,0.106773,-0.412331,1.07069,-0.95878,0.393653,0.0512615,-0.205748,0.781673
1.06105,0.460237,-0.00591229,-1.31252,-0.0369128,0.456071,0.705201,0.129693,-0.0545131,0.69885,-0.970449,0.00470967,0.37602,-0.393094
-1.49809,-0.869714,0.11169,0.731739,-0.808641,0.208837,-2.16488,1.83222,0.266536,-1.25407,0.421408,0.0119109,-2.7881,-5.56499
-0.592955,-0.188146,-0.0492066,0.649812,-0.0820291,0.041105,0.138066,-0.394212,0.935122,-0.941549,0.339887,0.0736524,0.0105304,0.941621
-0.263139,-0.227115,-0.0984377,0.707707,-0.242457,0.16101,0.0898674,-0.441868,0.0159804,0.14161,0.369322,0.0606532,-0.3066,0.564098
-0.312781,-0.22373,-0.086643,0.678754,-0.226508,0.12113,0.0892114,-0.444136,0.305379,-0.260624,0.365495,0.0596055,-0.225605,0.625115
-0.367153,-0.328603,-0.0208397,0.498562,-0.10688,-0.061279,0.104799,-0.427327,0.745204,-0.57343,0.38577,0.0317198,-0.269431,0.777629
0.767913,0.21878,-0.0460691,-0.87066,0.0808455,0.300889,0.642944,0.0680669,0.0450295,0.575053,-0.877629,-0.0643593,0.6989,-0.0647596
-0.192264,-0.287842,-0.0312078,0.555344,-0.138793,0.0365565,-1.67467,1.34869,-0.187039,0.519884,0.374053,0.0413584,-0.218016,0.722858
-0.215292,-0.249653,-0.0979819,0.695634,-0.226904,0.16372,0.0949953,-0.435448,-0.271383,0.594358,0.378188,0.0573379,-0.379307,0.478549
0.847921,0.795738,-0.202258,0.673461,-0.204046,0.245124,-0.652602,-1.16966,0.727373,-1.04659,2.0017,-0.204713,-0.819011,0.18679
-0.454261,-0.281539,-0.0931841,0.674735,-0.237996,0.0915532,0.107844,-0.428772,1.00854,-0.864095,0.37503,0.0485935,-0.260767,0.660829
-0.127846,-0.0754392,-0.0845068,0.494482,-0.287322,0.134026,-1.53783,1.98526,-0.860352,1.29636,-0.570592,0.0466316,-0.270093,0.80412
-0.414438,-0.2423,-0.0150076,0.547788,0.00285005,-0.0595561,0.127427,-0.40544,0.251784,-0.0870595,0.361864,0.0531876,-0.227154,0.650297
